id,parameters,enc1_z,enc1_r,enc1_h,enc2_z,enc2_r,enc2_h,enc3_z,enc3_r,enc3_h,enc4_z,enc4_r,enc4_h,dec1_z,dec1_r,dec1_h,dec2_z,dec2_r,dec2_h,dec3_z,dec3_r,dec3_h,dec4_z,dec4_r,dec4_h
1,2234887,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2,6784903,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0
3,7612423,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4
4,7905031,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
5,8439943,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
6,8676487,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0
7,8912263,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0
8,9091975,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6
9,9326983,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4
10,9503239,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0
11,9739015,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
12,9918727,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4
13,9975559,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0
14,10154503,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0
15,10211335,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0
16,10390279,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8
17,10391047,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0
18,10447879,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8
19,10626823,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6
20,10627591,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0
21,10862599,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0
22,10863367,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0
23,10982023,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0
24,11160967,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4
25,11217799,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0
26,11218567,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4
27,11453575,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0
28,11454343,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0
29,11454343,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4
30,11455111,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6
31,11690119,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0
32,11690119,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4
33,11690119,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4
34,11690887,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8
35,11869063,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0
36,11925895,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8
37,11926663,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8
38,11926663,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0
